Medicamento,Unidade,Acerto Geral,Contagem 4 semanas (Calc),Contagem 4 semanas (Gab),Contagem 4 semanas (Dif),Contagem 4 semanas (Status),Contagem 8 semanas (Calc),Contagem 8 semanas (Gab),Contagem 8 semanas (Dif),Contagem 8 semanas (Status),Contagem 12 semanas (Calc),Contagem 12 semanas (Gab),Contagem 12 semanas (Dif),Contagem 12 semanas (Status),Contagem 16 semanas (Calc),Contagem 16 semanas (Gab),Contagem 16 semanas (Dif),Contagem 16 semanas (Status),Contagem 26 semanas (Calc),Contagem 26 semanas (Gab),Contagem 26 semanas (Dif),Contagem 26 semanas (Status),Contagem 52 semanas (Calc),Contagem 52 semanas (Gab),Contagem 52 semanas (Dif),Contagem 52 semanas (Status),Contagem ano (Calc),Contagem ano (Gab),Contagem ano (Dif),Contagem ano (Status),Contagem total (Calc),Contagem total (Gab),Contagem total (Dif),Contagem total (Status),Máximo (Calc),Máximo (Gab),Máximo (Dif),Máximo (Status),Mediana 4 semanas (Calc),Mediana 4 semanas (Gab),Mediana 4 semanas (Dif),Mediana 4 semanas (Status),Mediana 8 semanas (Calc),Mediana 8 semanas (Gab),Mediana 8 semanas (Dif),Mediana 8 semanas (Status),Mediana 12 semanas (Calc),Mediana 12 semanas (Gab),Mediana 12 semanas (Dif),Mediana 12 semanas (Status),Mediana 16 semanas (Calc),Mediana 16 semanas (Gab),Mediana 16 semanas (Dif),Mediana 16 semanas (Status),Mediana 26 semanas (Calc),Mediana 26 semanas (Gab),Mediana 26 semanas (Dif),Mediana 26 semanas (Status),Mediana 52 semanas (Calc),Mediana 52 semanas (Gab),Mediana 52 semanas (Dif),Mediana 52 semanas (Status),Mediana ano (Calc),Mediana ano (Gab),Mediana ano (Dif),Mediana ano (Status),Mediana total (Calc),Mediana total (Gab),Mediana total (Dif),Mediana total (Status),Tipo método (Calc),Tipo método (Gab),Tipo método (Dif),Tipo método (Status),Método (Calc),Método (Gab),Método (Dif),Método (Status),MetEst (Calc),MetEst (Gab),MetEst (Dif),MetEst (Status),Reposição (Calc),Reposição (Gab),Reposição (Dif),Reposição (Status),Total Geral (Calc),Total Geral (Gab),Total Geral (Dif),Total Geral (Status)
"AMIODARONA, CLORIDRATO  200 MG","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","420","420","","correto","205","205","","correto","205","205","","correto","240","240","","correto","240","240","","correto","240","240","","correto","240","240","","correto","240","240","","correto","240","240","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","240","240","","correto","3840","3840","","correto","3840","610","3230","incorreto","21900","21900","","correto",
"ACIDO TRANEXÂMICO 250MG - TRANSAMIN","CAF",30.43,"4","3","1","incorreto","8","7","1","incorreto","12","11","1","incorreto","16","15","1","incorreto","26","25","1","incorreto","46","45","1","incorreto","21","21","","correto","73","73","","correto","156","156","","correto","48","36","12","incorreto","64","60","4","incorreto","54","60","-6","incorreto","54","60","-6","incorreto","54","60","-6","incorreto","54","48","6","incorreto","60","60","","correto","48","48","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","64","60","4","incorreto","1024","960","64","incorreto","1024","444","580","incorreto","4332","4332","","correto",
"TOBRAMICINA 0,3 % COLIRIO - FRASCO 5 ML","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","15","15","","correto","25","25","","correto","51","51","","correto","21","21","","correto","85","85","","correto","10","10","","correto","6","6","","correto","4","4","","correto","5","5","","correto","5","5","","correto","5","5","","correto","5","5","","correto","5","5","","correto","4","4","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","6","6","","correto","96","96","","correto","28","21","7","incorreto","366","366","","correto",
"GUACO XAROPE - MIKANIA GLOMERATA 117,5MG/ML","CAF",91.30,"2","2","","correto","3","3","","correto","3","3","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","2","2","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","6","6","","correto","6","0","6","incorreto","5","5","","correto",
"SORO MANITOL 250ML","CAF",91.30,"4","4","","correto","6","6","","correto","8","8","","correto","11","11","","correto","15","15","","correto","18","18","","correto","14","14","","correto","18","18","","correto","6","6","","correto","3","3","","correto","4","4","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","1","1","","correto","18","18","","correto","18","16","2","incorreto","56","56","","correto",
"NORETISTERONA + ESTRADIOL 50 + 5 MG/ML  (MESIGYNA) INJETAVEL","CAF",95.65,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","23","23","","correto","11","11","","correto","11","11","","correto","11","11","","correto","11","11","","correto","11","11","","correto","11","11","","correto","11","11","","correto","11","11","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","11","11","","correto","176","176","","correto","-7","0","-7","incorreto","997","997","","correto",
"CETOPROFENO  50MG/ML IM (PROFENID)","CAF",82.61,"2","2","","correto","4","4","","correto","8","8","","correto","11","11","","correto","20","20","","correto","44","44","","correto","16","16","","correto","77","77","","correto","300","300","","correto","150","150","","correto","200","200","","correto","200","200","","correto","200","200","","correto","200","200","","correto","150","150","","correto","200","200","","correto","110","110","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","208","200","8","incorreto","900","3200","-2300","incorreto","-2000","300","-2300","incorreto","10850","10850","","correto",
"TALA METALICA","CAF",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","0","0","","correto","1","1","","correto","6","6","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","6","6","","correto","0","0","","correto","6","6","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","0","0","","correto","6","6","","correto",
"DECONGEX PLUS GOTAS","CAF",86.96,"0","0","","correto","0","0","","correto","1","1","","correto","1","1","","correto","2","2","","correto","9","9","","correto","1","1","","correto","18","18","","correto","5","5","","correto","0","0","","correto","0","0","","correto","2","2","","correto","2","2","","correto","2","2","","correto","1","1","","correto","2","2","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","1","-1","incorreto","15","15","","correto","15","0","15","incorreto","32","32","","correto",
"CARBAMAZEPINA 200 MG","CAF",73.91,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","21","22","-1","incorreto","89","90","-1","incorreto","1440","1440","","correto","970","970","","correto","955","955","","correto","955","955","","correto","940","870","70","incorreto","870","870","","correto","870","855","15","incorreto","930","870","60","incorreto","870","870","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","970","970","","correto","15520","15520","","correto","8440","8440","","correto","78410","78930","-520","incorreto",
