Medicamento,Unidade,Acerto Geral,Contagem 4 semanas (Calc),Contagem 4 semanas (Gab),Contagem 4 semanas (Dif),Contagem 4 semanas (Status),Contagem 8 semanas (Calc),Contagem 8 semanas (Gab),Contagem 8 semanas (Dif),Contagem 8 semanas (Status),Contagem 12 semanas (Calc),Contagem 12 semanas (Gab),Contagem 12 semanas (Dif),Contagem 12 semanas (Status),Contagem 16 semanas (Calc),Contagem 16 semanas (Gab),Contagem 16 semanas (Dif),Contagem 16 semanas (Status),Contagem 26 semanas (Calc),Contagem 26 semanas (Gab),Contagem 26 semanas (Dif),Contagem 26 semanas (Status),Contagem 52 semanas (Calc),Contagem 52 semanas (Gab),Contagem 52 semanas (Dif),Contagem 52 semanas (Status),Contagem ano (Calc),Contagem ano (Gab),Contagem ano (Dif),Contagem ano (Status),Contagem total (Calc),Contagem total (Gab),Contagem total (Dif),Contagem total (Status),Máximo (Calc),Máximo (Gab),Máximo (Dif),Máximo (Status),Mediana 4 semanas (Calc),Mediana 4 semanas (Gab),Mediana 4 semanas (Dif),Mediana 4 semanas (Status),Mediana 8 semanas (Calc),Mediana 8 semanas (Gab),Mediana 8 semanas (Dif),Mediana 8 semanas (Status),Mediana 12 semanas (Calc),Mediana 12 semanas (Gab),Mediana 12 semanas (Dif),Mediana 12 semanas (Status),Mediana 16 semanas (Calc),Mediana 16 semanas (Gab),Mediana 16 semanas (Dif),Mediana 16 semanas (Status),Mediana 26 semanas (Calc),Mediana 26 semanas (Gab),Mediana 26 semanas (Dif),Mediana 26 semanas (Status),Mediana 52 semanas (Calc),Mediana 52 semanas (Gab),Mediana 52 semanas (Dif),Mediana 52 semanas (Status),Mediana ano (Calc),Mediana ano (Gab),Mediana ano (Dif),Mediana ano (Status),Mediana total (Calc),Mediana total (Gab),Mediana total (Dif),Mediana total (Status),Tipo método (Calc),Tipo método (Gab),Tipo método (Dif),Tipo método (Status),Método (Calc),Método (Gab),Método (Dif),Método (Status),MetEst (Calc),MetEst (Gab),MetEst (Dif),MetEst (Status),Reposição (Calc),Reposição (Gab),Reposição (Dif),Reposição (Status),Total Geral (Calc),Total Geral (Gab),Total Geral (Dif),Total Geral (Status)
"MIRTAZAPINA 15MG","CAF",91.30,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","2","2","","correto","2","2","","correto","1","1","","correto","2","2","","correto","60","60","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","60","60","","correto","60","60","","correto","60","60","","correto","60","60","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","-150","0","-150","incorreto","120","120","","correto",
"LEITE NAN SUPREME 1- 800G","CAF",82.61,"1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","5","5","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2.INTERMITENTES","5.ENTRANTES","","incorreto","0","2","-2","incorreto","6","32","-26","incorreto","4","30","-26","incorreto","9","9","","correto",
"LEITE NINHO FASE I","CAF",91.30,"1","1","","correto","1","1","","correto","3","3","","correto","3","3","","correto","5","5","","correto","5","5","","correto","4","4","","correto","8","8","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","6","6","","correto","6","0","6","incorreto","13","13","","correto",
"CUTISANOL BABY 120G","CAF",82.61,"3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","33","33","","correto","12","12","","correto","12","12","","correto","12","12","","correto","12","12","","correto","12","12","","correto","12","12","","correto","12","12","","correto","12","12","","correto","2.INTERMITENTES","4.RECENTES","","incorreto","1","12","-11","incorreto","99","99","","correto","99","0","99","incorreto","52","52","","correto",
"CLORETO DE POTASSIO 19,1% - 10 ML","CAF",91.30,"0","0","","correto","1","1","","correto","1","1","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","3","3","","correto","10","10","","correto","0","0","","correto","2","2","","correto","2","2","","correto","6","6","","correto","6","6","","correto","6","6","","correto","6","6","","correto","2","2","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","30","30","","correto","30","0","30","incorreto","13","13","","correto",
"CANETA PARA APLICAÇÃO DE INSULINAS HUMANAS - REUTILIZAVEL","CAF",91.30,"2","2","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","8","8","","correto","8","8","","correto","7","7","","correto","7","7","","correto","7","7","","correto","7","7","","correto","7","7","","correto","7","7","","correto","7","7","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","24","24","","correto","24","22","2","incorreto","18","18","","correto",
"NEOMICINA + BACITRACINA POMADA","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","49","49","","correto","33","33","","correto","33","33","","correto","33","33","","correto","33","33","","correto","30","30","","correto","27","27","","correto","33","33","","correto","27","27","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","33","33","","correto","528","528","","correto","98","76","22","incorreto","2463","2463","","correto",
"FLUMAZENIL 0,1 MG/ 5 ML SOL INJ.","CAF",86.96,"2","2","","correto","3","3","","correto","4","4","","correto","5","5","","correto","5","5","","correto","8","8","","correto","5","5","","correto","14","14","","correto","8","8","","correto","5","5","","correto","2","2","","correto","3","3","","correto","2","2","","correto","2","2","","correto","1","1","","correto","2","2","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","1","-1","incorreto","24","24","","correto","24","0","24","incorreto","26","26","","correto",
"CEFALEXINA 500 MG","CAF",60.87,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","21","22","-1","incorreto","82","83","-1","incorreto","870","870","","correto","505","535","-30","incorreto","570","535","35","incorreto","570","570","","correto","526","535","-9","incorreto","467","477","-10","incorreto","453","458","-5","incorreto","480","486","-6","incorreto","450","450","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","570","570","","correto","9120","9120","","correto","5650","5650","","correto","36655","37165","-510","incorreto",
"BUSCOPAM COMPOSTO CPR","CAF",65.22,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","21","22","-1","incorreto","89","90","-1","incorreto","1140","1140","","correto","711","765","-54","incorreto","765","765","","correto","795","800","-5","incorreto","800","800","","correto","785","795","-10","incorreto","656","670","-14","incorreto","800","800","","correto","570","575","-5","incorreto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","800","800","","correto","12800","12800","","correto","9880","9880","","correto","52884","53684","-800","incorreto",
"PERMETRINA 5% LOÇÃO","CAF",91.30,"1","1","","correto","3","3","","correto","3","3","","correto","5","5","","correto","8","8","","correto","9","9","","correto","6","6","","correto","9","9","","correto","2","2","","correto","2","2","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","6","6","","correto","-25","0","-25","incorreto","11","11","","correto",
"RISPERIDONA 1 MG/ML SOLUÇÃO","CAF",91.30,"1","1","","correto","2","2","","correto","2","2","","correto","2","2","","correto","8","8","","correto","13","13","","correto","5","5","","correto","23","23","","correto","17","17","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","1","1","","correto","51","51","","correto","51","12","39","incorreto","72","72","","correto",
"LEVOFLOXACINO 500 MG","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","25","25","","correto","51","51","","correto","21","21","","correto","87","87","","correto","214","214","","correto","166","166","","correto","112","112","","correto","90","90","","correto","70","70","","correto","62","62","","correto","70","70","","correto","70","70","","correto","60","60","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","166","166","","correto","2656","2656","","correto","1927","1837","90","incorreto","5593","5593","","correto",
"CIPROFLOXACINO + DEXAMETASONA COLIRIO","CAF",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","1","1","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto",
"ANLODIPINO, BESILATO 5MG","CAF",52.17,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","21","22","-1","incorreto","89","90","-1","incorreto","1290","1290","","correto","850","850","","correto","868","810","58","incorreto","860","810","50","incorreto","868","860","8","incorreto","873","865","8","incorreto","860","860","","correto","870","865","5","incorreto","760","760","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","873","865","8","incorreto","13968","13840","128","incorreto","2788","2660","128","incorreto","68000","68480","-480","incorreto",
"AMOXICILINA 250 MG/5ML - 150 ML","CAF",73.91,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","21","22","-1","incorreto","88","89","-1","incorreto","32","32","","correto","6","6","","correto","6","6","","correto","7","6","1","incorreto","6","6","","correto","5","5","","correto","6","6","","correto","5","5","","correto","8","8","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","8","8","","correto","128","128","","correto","-74","0","-74","incorreto","840","845","-5","incorreto",
"BROMOPRIDA 10MG CPR","CAF",43.48,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","21","22","-1","incorreto","87","88","-1","incorreto","1200","1200","","correto","666","811","-145","incorreto","735","761","-26","incorreto","735","761","-26","incorreto","756","756","","correto","599","609","-10","incorreto","470","480","-10","incorreto","730","735","-5","incorreto","520","525","-5","incorreto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","756","811","-55","incorreto","12096","12976","-880","incorreto","6066","6946","-880","incorreto","49486","50526","-1040","incorreto",
"AMBROXOL XAROPE ADULTO","CAF",47.83,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","21","22","-1","incorreto","89","90","-1","incorreto","95","96","-1","incorreto","56","69","-13","incorreto","50","53","-3","incorreto","41","45","-4","incorreto","39","40","-1","incorreto","35","35","","correto","40","40","","correto","34","36","-2","incorreto","36","36","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","56","69","-13","incorreto","896","1104","-208","incorreto","503","711","-208","incorreto","3419","3515","-96","incorreto",
"EPINEFRINA 1MG/ML","CAF",82.61,"4","4","","correto","6","6","","correto","8","8","","correto","10","10","","correto","14","14","","correto","28","28","","correto","13","13","","correto","43","43","","correto","14","14","","correto","8","8","","correto","8","8","","correto","6","6","","correto","5","5","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","3","8","-5","incorreto","42","128","-86","incorreto","-64","22","-86","incorreto","179","179","","correto",
"FENOBARBITAL 200 MG/ ML - AMPOLA","CAF",86.96,"0","0","","correto","0","0","","correto","1","1","","correto","2","2","","correto","3","3","","correto","4","4","","correto","2","2","","correto","6","6","","correto","16","16","","correto","0","0","","correto","0","0","","correto","10","10","","correto","9","9","","correto","8","8","","correto","5","5","","correto","9","9","","correto","5","5","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","1","-1","incorreto","48","48","","correto","48","0","48","incorreto","38","38","","correto",
"DOPAMINA 5 MG/ ML","CAF",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","0","0","","correto","1","1","","correto","7","7","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","7","7","","correto","0","0","","correto","7","7","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","0","0","","correto","7","7","","correto",
"NOREPINEFRINA 2MG/4ML - AMP","CAF",86.96,"1","1","","correto","2","2","","correto","3","3","","correto","3","3","","correto","4","4","","correto","11","11","","correto","4","4","","correto","19","19","","correto","12","12","","correto","4","4","","correto","3","3","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","1","2","-1","incorreto","36","36","","correto","36","0","36","incorreto","97","97","","correto",
"METOPROLOL 25 MG","CAF",82.61,"4","4","","correto","4","4","","correto","7","7","","correto","11","11","","correto","21","21","","correto","40","40","","correto","17","17","","correto","51","51","","correto","660","660","","correto","60","60","","correto","60","60","","correto","60","60","","correto","120","120","","correto","180","180","","correto","135","135","","correto","120","120","","correto","120","120","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","154","180","-26","incorreto","1980","2880","-900","incorreto","570","1470","-900","incorreto","8010","8010","","correto",
"BUPROPIONA 150 MG - ASSISTENCIAL","CAF",95.65,"2","2","","correto","3","3","","correto","5","5","","correto","6","6","","correto","9","9","","correto","11","11","","correto","8","8","","correto","12","12","","correto","60","60","","correto","60","60","","correto","60","60","","correto","60","60","","correto","60","60","","correto","30","30","","correto","60","60","","correto","45","45","","correto","60","60","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","10","11","-1","incorreto","180","180","","correto","30","30","","correto","570","570","","correto",
"ACICLOVIR 5 % CREME 10 G","CAF",73.91,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","25","25","","correto","50","50","","correto","21","22","-1","incorreto","83","84","-1","incorreto","19","19","","correto","3","3","","correto","3","4","-1","incorreto","4","4","","correto","5","5","","correto","4","4","","correto","5","5","","correto","4","4","","correto","5","5","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","5","5","","correto","80","80","","correto","80","34","46","incorreto","483","491","-8","incorreto",
"IPRATROPIO,BROMETO 0,25 MG/ML SOLUÇÃO PARA INALAÇÃO 20 ML","CAF",82.61,"4","4","","correto","8","8","","correto","12","12","","correto","14","14","","correto","20","20","","correto","36","36","","correto","19","19","","correto","70","70","","correto","8","8","","correto","5","5","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","2","2","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","3","5","-2","incorreto","24","80","-56","incorreto","-6","50","-56","incorreto","204","204","","correto",
"AMINOFILINA 100 MG","CAF",91.30,"1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2","2","","correto","11","11","","correto","1","1","","correto","16","16","","correto","90","90","","correto","20","20","","correto","20","20","","correto","20","20","","correto","20","20","","correto","30","30","","correto","40","40","","correto","20","20","","correto","40","40","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","14","14","","correto","270","270","","correto","270","0","270","incorreto","740","740","","correto",
"ATENOLOL 25MG","CAF",86.96,"0","0","","correto","1","1","","correto","2","2","","correto","4","4","","correto","8","8","","correto","12","12","","correto","7","7","","correto","21","21","","correto","45","45","","correto","0","0","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","9","10","-1","incorreto","135","135","","correto","135","0","135","incorreto","510","510","","correto",
"TRAMADOL 50MG/ML(TRAMAL)- AMP","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","74","74","","correto","51","51","","correto","55","55","","correto","52","52","","correto","52","52","","correto","51","51","","correto","50","50","","correto","50","50","","correto","44","44","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","55","55","","correto","880","880","","correto","693","685","8","incorreto","4010","4010","","correto",
"DOXAZOSINA MESILATO 4MG","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","45","45","","correto","22","22","","correto","70","70","","correto","390","390","","correto","135","135","","correto","120","120","","correto","135","135","","correto","135","135","","correto","120","120","","correto","120","120","","correto","120","120","","correto","120","120","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","135","135","","correto","2160","2160","","correto","-1080","0","-1080","incorreto","7913","7913","","correto",
"CARVEDILOL 12,5 MG","CAF",52.17,"2","2","","correto","5","4","1","incorreto","8","7","1","incorreto","12","11","1","incorreto","20","20","","correto","44","43","1","incorreto","17","17","","correto","70","70","","correto","300","300","","correto","120","120","","correto","120","105","15","incorreto","90","120","-30","incorreto","120","120","","correto","120","120","","correto","120","120","","correto","120","120","","correto","120","120","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","162","120","42","incorreto","900","1920","-1020","incorreto","-690","30","-720","incorreto","8445","8445","","correto",
"ALOPURINOL  300MG","CAF",69.57,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","21","22","-1","incorreto","89","90","-1","incorreto","430","430","","correto","300","270","30","incorreto","240","240","","correto","240","240","","correto","240","240","","correto","210","210","","correto","240","240","","correto","210","210","","correto","240","240","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","300","270","30","incorreto","4800","4320","480","incorreto","30","0","30","incorreto","21650","21860","-210","incorreto",
"CEFALEXINA SUSPENSÃO 250 MG/ 5 ML","CAF",91.30,"4","4","","correto","7","7","","correto","11","11","","correto","14","14","","correto","24","24","","correto","48","48","","correto","20","20","","correto","82","82","","correto","30","30","","correto","5","5","","correto","6","6","","correto","6","6","","correto","7","7","","correto","7","7","","correto","5","5","","correto","7","7","","correto","5","5","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","7","7","","correto","112","112","","correto","-1","0","-1","incorreto","506","506","","correto",
"HIDROXIDO DE ALUMINIO 6.2% SUSP","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","51","51","","correto","22","22","","correto","89","89","","correto","22","22","","correto","7","7","","correto","8","8","","correto","8","8","","correto","9","9","","correto","7","7","","correto","7","7","","correto","8","8","","correto","7","7","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","9","9","","correto","144","144","","correto","-2","0","-2","incorreto","689","689","","correto",
"CARBONATO DE CALCIO 1.250MG + VITAMINA D 400UI","CAF",56.52,"3","3","","correto","7","7","","correto","11","11","","correto","15","15","","correto","25","25","","correto","38","39","-1","incorreto","20","21","-1","incorreto","38","39","-1","incorreto","210","210","","correto","60","120","-60","incorreto","90","90","","correto","90","90","","correto","90","90","","correto","90","90","","correto","90","90","","correto","90","90","","correto","90","90","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","70","120","-50","incorreto","630","1920","-1290","incorreto","-390","660","-1050","incorreto","3675","3855","-180","incorreto",
"ISOSSORBIDA, DINITRATO 5 MG - SUB LINGUAL","CAF",86.96,"0","0","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","6","6","","correto","1","1","","correto","14","14","","correto","60","60","","correto","0","0","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","6","7","-1","incorreto","180","180","","correto","180","0","180","incorreto","350","350","","correto",
"BUSCOPAM SIMPLES CP","CAF",95.65,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","86","86","","correto","520","520","","correto","60","60","","correto","80","80","","correto","88","88","","correto","98","98","","correto","108","108","","correto","83","83","","correto","98","98","","correto","93","93","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","108","108","","correto","1728","1728","","correto","-472","0","-472","incorreto","9159","9159","","correto",
"GLICONATO DE CALCIO 10% - AMP","CAF",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","2","2","","correto","0","0","","correto","3","3","","correto","10","10","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","5","5","","correto","0","0","","correto","9","9","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","0","0","","correto","20","20","","correto",
"TESTE RAPIDO COMBO (COVID-19/ INFLUENZA A/B)","CAF",86.96,"0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","2","2","","correto","4","4","","correto","2","2","","correto","4","4","","correto","21","21","","correto","0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","1","-1","incorreto","63","63","","correto","63","0","63","incorreto","28","28","","correto",
"DELTAMETRINA 0,2MG/ML","CAF",95.65,"1","1","","correto","3","3","","correto","5","5","","correto","6","6","","correto","10","10","","correto","18","18","","correto","8","8","","correto","35","35","","correto","5","5","","correto","4","4","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","1","1","","correto","15","15","","correto","-21","0","-21","incorreto","73","73","","correto",
"GOMA NICOTINA 2 MG (NICORETTE)","CAF",86.96,"2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","4","4","","correto","11","11","","correto","3","3","","correto","19","19","","correto","360","360","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","24","25","-1","incorreto","1080","1080","","correto","1080","0","1080","incorreto","1290","1290","","correto",
"HIDRALAZINA 25MG, CLORIDRATO DE","CAF",95.65,"1","1","","correto","3","3","","correto","3","3","","correto","4","4","","correto","5","5","","correto","8","8","","correto","5","5","","correto","8","8","","correto","180","180","","correto","20","20","","correto","60","60","","correto","60","60","","correto","90","90","","correto","120","120","","correto","120","120","","correto","120","120","","correto","120","120","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","15","15","","correto","540","540","","correto","-460","0","-460","incorreto","800","800","","correto",
"METILCOBALAMINA 1.000MCG - DOZEMAST - MECOBE","CAF",91.30,"1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","6","6","","correto","1","1","","correto","9","9","","correto","60","60","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","6","6","","correto","180","180","","correto","180","20","160","incorreto","320","320","","correto",
"INSULINA HUMANA REGULAR 100 UI/ ML - FRASCO 10 ML","CAF",82.61,"2","2","","correto","4","4","","correto","7","7","","correto","8","8","","correto","13","13","","correto","32","32","","correto","11","11","","correto","54","54","","correto","5","5","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","2","2","","correto","15","32","-17","incorreto","15","8","7","incorreto","112","112","","correto",
"PERMANGANTO DE POTASSIO 100 MG","CAF",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","0","0","","correto","1","1","","correto","20","20","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","20","20","","correto","0","0","","correto","20","20","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","0","0","","correto","20","20","","correto",
"NALOXONA, CLORIDRATO DE  0,4 MG/ 1 ML","CAF",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","2","2","","correto","0","0","","correto","2","2","","correto","5","5","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","5","5","","correto","0","0","","correto","5","5","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","-20","0","-20","incorreto","9","9","","correto",
"ALBENDAZOL 40 MG/ML FRASCO 10 ML","CAF",47.83,"2","3","-1","incorreto","6","6","","correto","10","10","","correto","14","14","","correto","23","23","","correto","46","46","","correto","19","20","-1","incorreto","75","76","-1","incorreto","28","28","","correto","14","13","1","incorreto","10","11","-1","incorreto","10","10","","correto","10","10","","correto","7","9","-2","incorreto","8","8","","correto","9","10","-1","incorreto","7","8","-1","incorreto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","14","13","1","incorreto","224","208","16","incorreto","69","53","16","incorreto","615","628","-13","incorreto",
"ATROPINA, SULFATO 0,50MG/ML","CAF",86.96,"1","1","","correto","1","1","","correto","2","2","","correto","2","2","","correto","3","3","","correto","5","5","","correto","3","3","","correto","12","12","","correto","8","8","","correto","1","1","","correto","1","1","","correto","2","2","","correto","2","2","","correto","3","3","","correto","2","2","","correto","3","3","","correto","3","3","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","1","-1","incorreto","24","24","","correto","24","0","24","incorreto","36","36","","correto",
"BROMOPRIDA 10MG/2ML - INJ","CAF",82.61,"4","4","","correto","5","5","","correto","6","6","","correto","8","8","","correto","10","10","","correto","27","27","","correto","9","9","","correto","41","41","","correto","200","200","","correto","53","53","","correto","50","50","","correto","53","53","","correto","68","68","","correto","90","90","","correto","50","50","","correto","80","80","","correto","80","80","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","63","90","-27","incorreto","600","1440","-840","incorreto","-200","640","-840","incorreto","3300","3300","","correto",
"BISSULFATO DE CLOPIDOGREL 75 MG","CAF",78.26,"1","1","","correto","3","3","","correto","4","4","","correto","5","5","","correto","8","8","","correto","26","26","","correto","6","6","","correto","45","45","","correto","58","58","","correto","20","20","","correto","20","20","","correto","20","20","","correto","20","20","","correto","20","20","","correto","28","28","","correto","20","20","","correto","20","20","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","20","28","-8","incorreto","174","448","-274","incorreto","174","156","18","incorreto","1056","1056","","correto",
"CIMEGRIPE GTS","CAF",91.30,"0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","3","3","","correto","6","6","","correto","2","2","","correto","11","11","","correto","8","8","","correto","0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","1","1","","correto","2","2","","correto","1","1","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","24","24","","correto","24","4","20","incorreto","23","23","","correto",
"AGUA DESTILADA AMPOLA 10 ML","CAF",82.61,"4","4","","correto","6","6","","correto","9","9","","correto","12","12","","correto","18","18","","correto","31","31","","correto","16","16","","correto","49","49","","correto","250","250","","correto","170","170","","correto","200","200","","correto","200","200","","correto","200","200","","correto","200","200","","correto","200","200","","correto","200","200","","correto","200","200","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","156","200","-44","incorreto","750","3200","-2450","incorreto","550","3000","-2450","incorreto","8160","8160","","correto",
"DIAZEPAM 10 MG/ 2ML - AMP","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","25","25","","correto","50","50","","correto","22","22","","correto","84","84","","correto","15","15","","correto","5","5","","correto","5","5","","correto","5","5","","correto","5","5","","correto","5","5","","correto","4","4","","correto","5","5","","correto","4","4","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","5","5","","correto","80","80","","correto","-9","0","-9","incorreto","399","399","","correto",
