Medicamento,Unidade,Acerto Geral,Contagem 4 semanas (Calc),Contagem 4 semanas (Gab),Contagem 4 semanas (Dif),Contagem 4 semanas (Status),Contagem 8 semanas (Calc),Contagem 8 semanas (Gab),Contagem 8 semanas (Dif),Contagem 8 semanas (Status),Contagem 12 semanas (Calc),Contagem 12 semanas (Gab),Contagem 12 semanas (Dif),Contagem 12 semanas (Status),Contagem 16 semanas (Calc),Contagem 16 semanas (Gab),Contagem 16 semanas (Dif),Contagem 16 semanas (Status),Contagem 26 semanas (Calc),Contagem 26 semanas (Gab),Contagem 26 semanas (Dif),Contagem 26 semanas (Status),Contagem 52 semanas (Calc),Contagem 52 semanas (Gab),Contagem 52 semanas (Dif),Contagem 52 semanas (Status),Contagem ano (Calc),Contagem ano (Gab),Contagem ano (Dif),Contagem ano (Status),Contagem total (Calc),Contagem total (Gab),Contagem total (Dif),Contagem total (Status),Máximo (Calc),Máximo (Gab),Máximo (Dif),Máximo (Status),Mediana 4 semanas (Calc),Mediana 4 semanas (Gab),Mediana 4 semanas (Dif),Mediana 4 semanas (Status),Mediana 8 semanas (Calc),Mediana 8 semanas (Gab),Mediana 8 semanas (Dif),Mediana 8 semanas (Status),Mediana 12 semanas (Calc),Mediana 12 semanas (Gab),Mediana 12 semanas (Dif),Mediana 12 semanas (Status),Mediana 16 semanas (Calc),Mediana 16 semanas (Gab),Mediana 16 semanas (Dif),Mediana 16 semanas (Status),Mediana 26 semanas (Calc),Mediana 26 semanas (Gab),Mediana 26 semanas (Dif),Mediana 26 semanas (Status),Mediana 52 semanas (Calc),Mediana 52 semanas (Gab),Mediana 52 semanas (Dif),Mediana 52 semanas (Status),Mediana ano (Calc),Mediana ano (Gab),Mediana ano (Dif),Mediana ano (Status),Mediana total (Calc),Mediana total (Gab),Mediana total (Dif),Mediana total (Status),Tipo método (Calc),Tipo método (Gab),Tipo método (Dif),Tipo método (Status),Método (Calc),Método (Gab),Método (Dif),Método (Status),MetEst (Calc),MetEst (Gab),MetEst (Dif),MetEst (Status),Reposição (Calc),Reposição (Gab),Reposição (Dif),Reposição (Status),Total Geral (Calc),Total Geral (Gab),Total Geral (Dif),Total Geral (Status)
"TRAMADOL 50MG/ML(TRAMAL)- AMP","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","74","74","","correto","51","51","","correto","55","55","","correto","52","52","","correto","52","52","","correto","51","51","","correto","50","50","","correto","50","50","","correto","44","44","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","55","55","","correto","880","880","","correto","880","685","195","incorreto","4010","4010","","correto",
"DOXAZOSINA MESILATO 4MG","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","45","45","","correto","22","22","","correto","70","70","","correto","390","390","","correto","135","135","","correto","120","120","","correto","135","135","","correto","135","135","","correto","120","120","","correto","120","120","","correto","120","120","","correto","120","120","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","135","135","","correto","2160","2160","","correto","2160","0","2160","incorreto","7913","7913","","correto",
"CEFALEXINA SUSPENSÃO 250 MG/ 5 ML","CAF",91.30,"4","4","","correto","7","7","","correto","11","11","","correto","14","14","","correto","24","24","","correto","48","48","","correto","20","20","","correto","82","82","","correto","30","30","","correto","5","5","","correto","6","6","","correto","6","6","","correto","7","7","","correto","7","7","","correto","5","5","","correto","7","7","","correto","5","5","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","7","7","","correto","112","112","","correto","112","0","112","incorreto","506","506","","correto",
"HIDROXIDO DE ALUMINIO 6.2% SUSP","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","51","51","","correto","22","22","","correto","89","89","","correto","22","22","","correto","7","7","","correto","8","8","","correto","8","8","","correto","9","9","","correto","7","7","","correto","7","7","","correto","8","8","","correto","7","7","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","9","9","","correto","144","144","","correto","144","0","144","incorreto","689","689","","correto",
"CILOSTAZOL 100 MG","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","89","89","","correto","405","405","","correto","195","195","","correto","195","195","","correto","195","195","","correto","195","195","","correto","180","180","","correto","150","150","","correto","180","180","","correto","150","150","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","195","195","","correto","3120","3120","","correto","3120","2430","690","incorreto","14130","14130","","correto",
"ISOSSORBIDA, DINITRATO 5 MG - SUB LINGUAL","CAF",91.30,"0","0","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","6","6","","correto","1","1","","correto","14","14","","correto","60","60","","correto","0","0","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","7","7","","correto","180","180","","correto","180","0","180","incorreto","350","350","","correto",
"FENITOINA 100 MG","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","860","860","","correto","290","290","","correto","300","300","","correto","260","260","","correto","280","280","","correto","300","300","","correto","325","325","","correto","290","290","","correto","340","340","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","340","340","","correto","5440","5440","","correto","5440","680","4760","incorreto","32296","32296","","correto",
"BUSCOPAM SIMPLES CP","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","86","86","","correto","520","520","","correto","60","60","","correto","80","80","","correto","88","88","","correto","98","98","","correto","108","108","","correto","83","83","","correto","98","98","","correto","93","93","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","108","108","","correto","1728","1728","","correto","1728","0","1728","incorreto","9159","9159","","correto",
"GLICONATO DE CALCIO 10% - AMP","CAF",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","2","2","","correto","0","0","","correto","3","3","","correto","10","10","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","5","5","","correto","0","0","","correto","9","9","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","0","0","","correto","20","20","","correto",
"CIMETIDINA 200MG COMPRIMIDO","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","460","460","","correto","120","120","","correto","150","150","","correto","215","215","","correto","215","215","","correto","175","175","","correto","160","160","","correto","215","215","","correto","160","160","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","215","215","","correto","3440","3440","","correto","3440","780","2660","incorreto","16060","16060","","correto",
"TESTE RAPIDO COMBO (COVID-19/ INFLUENZA A/B)","CAF",91.30,"0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","2","2","","correto","4","4","","correto","2","2","","correto","4","4","","correto","21","21","","correto","0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","1","1","","correto","63","63","","correto","63","0","63","incorreto","28","28","","correto",
"ONDANSETRONA 4 MG/ 2 ML INJ","CAF",91.30,"4","4","","correto","7","7","","correto","11","11","","correto","15","15","","correto","25","25","","correto","51","51","","correto","21","21","","correto","84","84","","correto","400","400","","correto","83","83","","correto","150","150","","correto","150","150","","correto","150","150","","correto","115","115","","correto","100","100","","correto","100","100","","correto","100","100","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","150","150","","correto","2400","2400","","correto","2400","415","1985","incorreto","11595","11595","","correto",
"DELTAMETRINA 0,2MG/ML","CAF",91.30,"1","1","","correto","3","3","","correto","5","5","","correto","6","6","","correto","10","10","","correto","18","18","","correto","8","8","","correto","35","35","","correto","5","5","","correto","4","4","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","1","1","","correto","15","15","","correto","15","0","15","incorreto","73","73","","correto",
"FINASTERIDA 5 MG","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","555","555","","correto","375","375","","correto","345","345","","correto","360","360","","correto","360","360","","correto","360","360","","correto","330","330","","correto","345","345","","correto","300","300","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","375","375","","correto","6000","6000","","correto","6000","3855","2145","incorreto","26350","26350","","correto",
"NIMESULIDA 100 MG  CP","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","87","87","","correto","1494","1494","","correto","1140","1140","","correto","1110","1110","","correto","1086","1086","","correto","996","996","","correto","822","822","","correto","900","900","","correto","882","882","","correto","768","768","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","1140","1140","","correto","18240","18240","","correto","18240","13080","5160","incorreto","66933","66933","","correto",
"GOMA NICOTINA 2 MG (NICORETTE)","CAF",91.30,"2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","4","4","","correto","11","11","","correto","3","3","","correto","19","19","","correto","360","360","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","25","25","","correto","1080","1080","","correto","1080","0","1080","incorreto","1290","1290","","correto",
"PREDNISONA 20 MG","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","89","89","","correto","1997","1997","","correto","1243","1243","","correto","1040","1040","","correto","1040","1040","","correto","1140","1140","","correto","915","915","","correto","1145","1145","","correto","915","915","","correto","880","880","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","1243","1243","","correto","19888","19888","","correto","19888","9130","10758","incorreto","86395","86395","","correto",
"HIDRALAZINA 25MG, CLORIDRATO DE","CAF",91.30,"1","1","","correto","3","3","","correto","3","3","","correto","4","4","","correto","5","5","","correto","8","8","","correto","5","5","","correto","8","8","","correto","180","180","","correto","20","20","","correto","60","60","","correto","60","60","","correto","90","90","","correto","120","120","","correto","120","120","","correto","120","120","","correto","120","120","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","15","15","","correto","540","540","","correto","540","0","540","incorreto","800","800","","correto",
"METILCOBALAMINA 1.000MCG - DOZEMAST - MECOBE","CAF",91.30,"1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","6","6","","correto","1","1","","correto","9","9","","correto","60","60","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","6","6","","correto","180","180","","correto","180","20","160","incorreto","320","320","","correto",
"INSULINA HUMANA REGULAR 100 UI/ ML - FRASCO 10 ML","CAF",91.30,"2","2","","correto","4","4","","correto","7","7","","correto","8","8","","correto","13","13","","correto","32","32","","correto","11","11","","correto","54","54","","correto","5","5","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","2","2","","correto","32","32","","correto","32","8","24","incorreto","112","112","","correto",
"PERMANGANTO DE POTASSIO 100 MG","CAF",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","0","0","","correto","1","1","","correto","20","20","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","20","20","","correto","0","0","","correto","20","20","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","0","0","","correto","20","20","","correto",
"NALOXONA, CLORIDRATO DE  0,4 MG/ 1 ML","CAF",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","2","2","","correto","0","0","","correto","2","2","","correto","5","5","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","5","5","","correto","0","0","","correto","5","5","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","0","0","","correto","9","9","","correto",
"ATROPINA, SULFATO 0,50MG/ML","CAF",91.30,"1","1","","correto","1","1","","correto","2","2","","correto","2","2","","correto","3","3","","correto","5","5","","correto","3","3","","correto","12","12","","correto","8","8","","correto","1","1","","correto","1","1","","correto","2","2","","correto","2","2","","correto","3","3","","correto","2","2","","correto","3","3","","correto","3","3","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","1","1","","correto","24","24","","correto","24","0","24","incorreto","36","36","","correto",
"SORO NASAL INFANTIL/ADULTO -30 ML","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","24","24","","correto","50","50","","correto","20","20","","correto","82","82","","correto","22","22","","correto","12","12","","correto","10","10","","correto","9","9","","correto","8","8","","correto","6","6","","correto","7","7","","correto","7","7","","correto","6","6","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","12","12","","correto","192","192","","correto","192","113","79","incorreto","567","567","","correto",
"BROMOPRIDA 10MG/2ML - INJ","CAF",91.30,"4","4","","correto","5","5","","correto","6","6","","correto","8","8","","correto","10","10","","correto","27","27","","correto","9","9","","correto","41","41","","correto","200","200","","correto","53","53","","correto","50","50","","correto","53","53","","correto","68","68","","correto","90","90","","correto","50","50","","correto","80","80","","correto","80","80","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","90","90","","correto","1440","1440","","correto","1440","640","800","incorreto","3300","3300","","correto",
"BISSULFATO DE CLOPIDOGREL 75 MG","CAF",91.30,"1","1","","correto","3","3","","correto","4","4","","correto","5","5","","correto","8","8","","correto","26","26","","correto","6","6","","correto","45","45","","correto","58","58","","correto","20","20","","correto","20","20","","correto","20","20","","correto","20","20","","correto","20","20","","correto","28","28","","correto","20","20","","correto","20","20","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","28","28","","correto","448","448","","correto","448","156","292","incorreto","1056","1056","","correto",
"CIMEGRIPE GTS","CAF",91.30,"0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","3","3","","correto","6","6","","correto","2","2","","correto","11","11","","correto","8","8","","correto","0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","1","1","","correto","2","2","","correto","1","1","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","24","24","","correto","24","4","20","incorreto","23","23","","correto",
"AGUA DESTILADA AMPOLA 10 ML","CAF",91.30,"4","4","","correto","6","6","","correto","9","9","","correto","12","12","","correto","18","18","","correto","31","31","","correto","16","16","","correto","49","49","","correto","250","250","","correto","170","170","","correto","200","200","","correto","200","200","","correto","200","200","","correto","200","200","","correto","200","200","","correto","200","200","","correto","200","200","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","200","200","","correto","3200","3200","","correto","3200","3000","200","incorreto","8160","8160","","correto",
"DIAZEPAM 10 MG/ 2ML - AMP","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","25","25","","correto","50","50","","correto","22","22","","correto","84","84","","correto","15","15","","correto","5","5","","correto","5","5","","correto","5","5","","correto","5","5","","correto","5","5","","correto","4","4","","correto","5","5","","correto","4","4","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","5","5","","correto","80","80","","correto","80","0","80","incorreto","399","399","","correto",
"NITROGLICERINA 5 MG/ML - TRIDIL","CAF",91.30,"1","1","","correto","1","1","","correto","2","2","","correto","2","2","","correto","2","2","","correto","4","4","","correto","2","2","","correto","6","6","","correto","8","8","","correto","1","1","","correto","1","1","","correto","5","5","","correto","5","5","","correto","5","5","","correto","5","5","","correto","5","5","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","24","24","","correto","24","0","24","incorreto","20","20","","correto",
"DIPIRONA SÓDICA GOTAS 500 MG / ML 10 ML","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","210","210","","correto","134","134","","correto","115","115","","correto","115","115","","correto","108","108","","correto","91","91","","correto","97","97","","correto","92","92","","correto","107","107","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","134","134","","correto","2144","2144","","correto","2144","705","1439","incorreto","10080","10080","","correto",
"PREGABALINA 100MG - PREBICTAL","CAF",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","4","4","","correto","0","0","","correto","9","9","","correto","30","30","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","30","30","","correto","0","0","","correto","30","30","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","0","0","","correto","270","270","","correto",
"ENSURE LATA 400G","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","66","66","","correto","14","14","","correto","8","8","","correto","6","6","","correto","7","7","","correto","8","8","","correto","7","7","","correto","8","8","","correto","7","7","","correto","8","8","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","8","8","","correto","128","128","","correto","128","88","40","incorreto","487","487","","correto",
"ENALAPRIL 10MG","CAF",91.30,"1","1","","correto","1","1","","correto","2","2","","correto","4","4","","correto","6","6","","correto","8","8","","correto","5","5","","correto","18","18","","correto","180","180","","correto","40","40","","correto","40","40","","correto","40","40","","correto","40","40","","correto","50","50","","correto","40","40","","correto","40","40","","correto","40","40","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","20","20","","correto","540","540","","correto","540","0","540","incorreto","1020","1020","","correto",
"AMOXICILINA 500 MG - CAPSULA","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","980","980","","correto","360","360","","correto","342","342","","correto","377","377","","correto","387","387","","correto","344","344","","correto","397","397","","correto","377","377","","correto","433","433","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","433","433","","correto","6928","6928","","correto","6928","1946","4982","incorreto","39651","39651","","correto",
"SUXAMETONIO 100MG SUSP INJ","CAF",91.30,"3","3","","correto","5","5","","correto","5","5","","correto","6","6","","correto","8","8","","correto","13","13","","correto","6","6","","correto","23","23","","correto","6","6","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","1","1","","correto","18","18","","correto","18","0","18","incorreto","34","34","","correto",
"POMADA PARA ASSADURA ( NIST+ OX ZINCO) PMD","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","34","34","","correto","8","8","","correto","7","7","","correto","7","7","","correto","8","8","","correto","7","7","","correto","7","7","","correto","8","8","","correto","9","9","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","9","9","","correto","144","144","","correto","144","27","117","incorreto","900","900","","correto",
"CEFTRIAXONA 1 G - PÓ P/ SOL. INJ EV","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","173","173","","correto","101","101","","correto","91","91","","correto","91","91","","correto","101","101","","correto","96","96","","correto","84","84","","correto","101","101","","correto","80","80","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","101","101","","correto","1616","1616","","correto","1616","1268","348","incorreto","7600","7600","","correto",
"LIDOCAINA 2% GELEIA - 30 GR","CAF",91.30,"2","2","","correto","4","4","","correto","7","7","","correto","8","8","","correto","15","15","","correto","26","26","","correto","12","12","","correto","46","46","","correto","10","10","","correto","2","2","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2","2","","correto","3","3","","correto","2","2","","correto","3","3","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","3","3","","correto","48","48","","correto","48","16","32","incorreto","156","156","","correto",
"MORFINA 1MG/ML INJ","CAF",91.30,"3","3","","correto","7","7","","correto","11","11","","correto","14","14","","correto","22","22","","correto","45","45","","correto","18","18","","correto","81","81","","correto","82","82","","correto","7","7","","correto","3","3","","correto","3","3","","correto","3","3","","correto","4","4","","correto","3","3","","correto","3","3","","correto","5","5","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","7","7","","correto","112","112","","correto","112","0","112","incorreto","851","851","","correto",
"PARACETAMOL 500 MG - COMP","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","730","730","","correto","350","350","","correto","276","276","","correto","300","300","","correto","290","290","","correto","265","265","","correto","280","280","","correto","265","265","","correto","300","300","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","350","350","","correto","5600","5600","","correto","5600","1650","3950","incorreto","29653","29653","","correto",
"LEITE APTAMIL PREMIUM 1 - LATA 800G","CAF",91.30,"1","1","","correto","3","3","","correto","4","4","","correto","4","4","","correto","6","6","","correto","7","7","","correto","5","5","","correto","12","12","","correto","4","4","","correto","3","3","","correto","2","2","","correto","2","2","","correto","2","2","","correto","3","3","","correto","3","3","","correto","2","2","","correto","2","2","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","12","12","","correto","12","8","4","incorreto","25","25","","correto",
"FENAZOPIRIDA 200MG - PYRIDIUM","CAF",91.30,"0","0","","correto","1","1","","correto","1","1","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","18","18","","correto","0","0","","correto","9","9","","correto","9","9","","correto","14","14","","correto","14","14","","correto","14","14","","correto","14","14","","correto","14","14","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","1","1","","correto","54","54","","correto","54","45","9","incorreto","27","27","","correto",
"ALOPURINOL  300MG","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","430","430","","correto","270","270","","correto","240","240","","correto","240","240","","correto","240","240","","correto","210","210","","correto","240","240","","correto","210","210","","correto","240","240","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","270","270","","correto","4320","4320","","correto","4320","0","4320","incorreto","21860","21860","","correto",
"HIDRALAZINA 20 MG/ML - AMPOLAS","CAF",91.30,"0","0","","correto","2","2","","correto","3","3","","correto","3","3","","correto","7","7","","correto","14","14","","correto","5","5","","correto","18","18","","correto","6","6","","correto","0","0","","correto","2","2","","correto","2","2","","correto","2","2","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","1","1","","correto","18","18","","correto","18","0","18","incorreto","36","36","","correto",
"DIGOXINA 0.25 MG","CAF",91.30,"1","1","","correto","4","4","","correto","8","8","","correto","11","11","","correto","17","17","","correto","37","37","","correto","16","16","","correto","65","65","","correto","150","150","","correto","60","60","","correto","40","40","","correto","40","40","","correto","40","40","","correto","40","40","","correto","40","40","","correto","40","40","","correto","40","40","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","60","60","","correto","960","960","","correto","960","0","960","incorreto","3550","3550","","correto",
"VENLAFAXINA 75 MG","CAF",91.30,"1","1","","correto","2","2","","correto","4","4","","correto","6","6","","correto","10","10","","correto","22","22","","correto","8","8","","correto","45","45","","correto","300","300","","correto","180","180","","correto","180","180","","correto","180","180","","correto","180","180","","correto","120","120","","correto","120","120","","correto","150","150","","correto","119","119","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","97","97","","correto","900","900","","correto","900","0","900","incorreto","5049","5049","","correto",
"NISTATINA POMADA VAG.","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","50","50","","correto","22","22","","correto","86","86","","correto","21","21","","correto","5","5","","correto","5","5","","correto","5","5","","correto","5","5","","correto","5","5","","correto","5","5","","correto","5","5","","correto","4","4","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","5","5","","correto","80","80","","correto","80","0","80","incorreto","421","421","","correto",
"DEXAMETASONA 4 MG/ML - AMPOLA","CAF",91.30,"4","4","","correto","7","7","","correto","11","11","","correto","15","15","","correto","24","24","","correto","48","48","","correto","20","20","","correto","82","82","","correto","350","350","","correto","200","200","","correto","200","200","","correto","200","200","","correto","200","200","","correto","150","150","","correto","150","150","","correto","150","150","","correto","150","150","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","200","200","","correto","3200","3200","","correto","3200","3180","20","incorreto","12830","12830","","correto",
"PANTOPRAZOL 20 MG","CAF",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","0","0","","correto","1","1","","correto","28","28","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","28","28","","correto","0","0","","correto","28","28","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","0","0","","correto","28","28","","correto",
"ITRACONAZOL 100 MG","CAF",91.30,"3","3","","correto","4","4","","correto","5","5","","correto","7","7","","correto","13","13","","correto","20","20","","correto","11","11","","correto","30","30","","correto","140","140","","correto","60","60","","correto","60","60","","correto","60","60","","correto","60","60","","correto","50","50","","correto","55","55","","correto","50","50","","correto","20","20","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","26","26","","correto","420","420","","correto","420","150","270","incorreto","1358","1358","","correto",
"CARVEDILOL 12,5 MG","CAF",91.30,"2","2","","correto","4","4","","correto","7","7","","correto","11","11","","correto","20","20","","correto","43","43","","correto","17","17","","correto","70","70","","correto","300","300","","correto","120","120","","correto","105","105","","correto","120","120","","correto","120","120","","correto","120","120","","correto","120","120","","correto","120","120","","correto","120","120","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","120","120","","correto","1920","1920","","correto","1920","30","1890","incorreto","8445","8445","","correto",
"IMIPRAMINA 25 MG","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","25","25","","correto","48","48","","correto","22","22","","correto","81","81","","correto","450","450","","correto","195","195","","correto","165","165","","correto","165","165","","correto","165","165","","correto","150","150","","correto","150","150","","correto","150","150","","correto","150","150","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","195","195","","correto","3120","3120","","correto","3120","1850","1270","incorreto","13890","13890","","correto",
"DIPIRONA 500 MG/2 ML - AMP","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","25","25","","correto","51","51","","correto","22","22","","correto","87","87","","correto","900","900","","correto","300","300","","correto","300","300","","correto","300","300","","correto","300","300","","correto","300","300","","correto","300","300","","correto","300","300","","correto","300","300","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","300","300","","correto","4800","4800","","correto","4800","1200","3600","incorreto","27400","27400","","correto",
