Medicamento,Unidade,Acerto Geral,Contagem 4 semanas (Calc),Contagem 4 semanas (Gab),Contagem 4 semanas (Dif),Contagem 4 semanas (Status),Contagem 8 semanas (Calc),Contagem 8 semanas (Gab),Contagem 8 semanas (Dif),Contagem 8 semanas (Status),Contagem 12 semanas (Calc),Contagem 12 semanas (Gab),Contagem 12 semanas (Dif),Contagem 12 semanas (Status),Contagem 16 semanas (Calc),Contagem 16 semanas (Gab),Contagem 16 semanas (Dif),Contagem 16 semanas (Status),Contagem 26 semanas (Calc),Contagem 26 semanas (Gab),Contagem 26 semanas (Dif),Contagem 26 semanas (Status),Contagem 52 semanas (Calc),Contagem 52 semanas (Gab),Contagem 52 semanas (Dif),Contagem 52 semanas (Status),Contagem ano (Calc),Contagem ano (Gab),Contagem ano (Dif),Contagem ano (Status),Contagem total (Calc),Contagem total (Gab),Contagem total (Dif),Contagem total (Status),Máximo (Calc),Máximo (Gab),Máximo (Dif),Máximo (Status),Mediana 4 semanas (Calc),Mediana 4 semanas (Gab),Mediana 4 semanas (Dif),Mediana 4 semanas (Status),Mediana 8 semanas (Calc),Mediana 8 semanas (Gab),Mediana 8 semanas (Dif),Mediana 8 semanas (Status),Mediana 12 semanas (Calc),Mediana 12 semanas (Gab),Mediana 12 semanas (Dif),Mediana 12 semanas (Status),Mediana 16 semanas (Calc),Mediana 16 semanas (Gab),Mediana 16 semanas (Dif),Mediana 16 semanas (Status),Mediana 26 semanas (Calc),Mediana 26 semanas (Gab),Mediana 26 semanas (Dif),Mediana 26 semanas (Status),Mediana 52 semanas (Calc),Mediana 52 semanas (Gab),Mediana 52 semanas (Dif),Mediana 52 semanas (Status),Mediana ano (Calc),Mediana ano (Gab),Mediana ano (Dif),Mediana ano (Status),Mediana total (Calc),Mediana total (Gab),Mediana total (Dif),Mediana total (Status),Tipo método (Calc),Tipo método (Gab),Tipo método (Dif),Tipo método (Status),Método (Calc),Método (Gab),Método (Dif),Método (Status),MetEst (Calc),MetEst (Gab),MetEst (Dif),MetEst (Status),Reposição (Calc),Reposição (Gab),Reposição (Dif),Reposição (Status),Total Geral (Calc),Total Geral (Gab),Total Geral (Dif),Total Geral (Status)
"ROCURÔNIO 50 MG/ 5 ML - IV","CAF",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","2","2","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","2","2","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","0","0","","correto","2","2","","correto",
"LISDEXANFETAMINA, DIMESILATO DE 30MG - VENVANSE","CAF",91.30,"1","1","","correto","2","2","","correto","2","2","","correto","2","2","","correto","3","3","","correto","4","4","","correto","3","3","","correto","5","5","","correto","60","60","","correto","60","60","","correto","60","60","","correto","60","60","","correto","60","60","","correto","60","60","","correto","45","45","","correto","60","60","","correto","30","30","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","4","4","","correto","180","180","","correto","180","150","30","incorreto","208","208","","correto",
"SERTRALINA 50MG","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","3700","3700","","correto","2795","2795","","correto","2870","2870","","correto","3000","3000","","correto","3000","3000","","correto","3050","3050","","correto","2955","2955","","correto","3050","3050","","correto","2678","2678","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","3050","3050","","correto","48800","48800","","correto","48800","29840","18960","incorreto","235475","235475","","correto",
"AMIODARONA, CLORIDRATO  200 MG","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","420","420","","correto","205","205","","correto","205","205","","correto","240","240","","correto","240","240","","correto","240","240","","correto","240","240","","correto","240","240","","correto","240","240","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","240","240","","correto","3840","3840","","correto","3840","610","3230","incorreto","21900","21900","","correto",
"DIAZEPAM 10 MG","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","1009","1009","","correto","408","408","","correto","438","438","","correto","439","439","","correto","459","459","","correto","459","459","","correto","495","495","","correto","459","459","","correto","522","522","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","522","522","","correto","8352","8352","","correto","8352","987","7365","incorreto","49051","49051","","correto",
"CLONAZEPAM 2MG","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","3450","3450","","correto","2191","2191","","correto","2112","2112","","correto","2112","2112","","correto","2137","2137","","correto","2117","2117","","correto","2130","2130","","correto","2117","2117","","correto","2200","2200","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","2200","2200","","correto","35200","35200","","correto","35200","9801","25399","incorreto","199478","199478","","correto",
"TOBRAMICINA 0,3 % COLIRIO - FRASCO 5 ML","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","15","15","","correto","25","25","","correto","51","51","","correto","21","21","","correto","85","85","","correto","10","10","","correto","6","6","","correto","4","4","","correto","5","5","","correto","5","5","","correto","5","5","","correto","5","5","","correto","5","5","","correto","4","4","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","6","6","","correto","96","96","","correto","96","21","75","incorreto","366","366","","correto",
"AMOXICILINA + CLAVULANATO SUSP 250 MG/5 ML","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","77","77","","correto","39","39","","correto","34","34","","correto","22","22","","correto","15","15","","correto","14","14","","correto","9","9","","correto","9","9","","correto","11","11","","correto","7","7","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","34","34","","correto","544","544","","correto","544","431","113","incorreto","745","745","","correto",
"DEXAMETASONA 0.1% CREME 10 GR","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","112","112","","correto","43","43","","correto","42","42","","correto","43","43","","correto","43","43","","correto","44","44","","correto","43","43","","correto","46","46","","correto","47","47","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","47","47","","correto","752","752","","correto","752","72","680","incorreto","4306","4306","","correto",
"GUACO XAROPE - MIKANIA GLOMERATA 117,5MG/ML","CAF",91.30,"2","2","","correto","3","3","","correto","3","3","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","2","2","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","6","6","","correto","6","0","6","incorreto","5","5","","correto",
